0,16402.0,1260.0,80.0,26.0,98.0,1.0,12.0,69193.0,79200.0,99.0,26406.0,26863.0,68.0
1,19880.0,1800.0,54.0,10.0,43.0,43.0,12.0,52582.0,72662.0,73.0,8858.0,21334.0,26.0
2,24595.0,300.0,67.0,23.0,83.0,17.0,14.0,61290.0,75213.0,93.0,12926.0,20893.0,43.0
3,18786.0,1500.0,71.0,20.0,82.0,14.0,11.0,44966.0,52677.0,89.0,7949.0,25938.0,48.0
4,30800.0,1000.0,90.0,27.0,97.0,3.0,12.0,80606.0,102816.0,92.0,15760.0,30594.0,76.0
5,37078.0,1500.0,72.0,25.0,98.0,2.0,13.0,60110.0,68814.0,99.0,29929.0,19779.0,59.0
6,9548.0,1100.0,68.0,18.0,79.0,13.0,15.0,46197.0,56735.0,86.0,5384.0,13918.0,29.0
7,34392.0,1400.0,81.0,22.0,90.0,8.0,17.0,84175.0,111091.0,88.0,16509.0,33258.0,65.0
8,25476.0,1200.0,59.0,20.0,84.0,14.0,14.0,41451.0,61544.0,88.0,12907.0,21378.0,45.0
9,14700.0,1350.0,54.0,17.0,65.0,26.0,11.0,49030.0,57303.0,81.0,9147.0,16517.0,40.0
10,26200.0,1100.0,83.0,27.0,93.0,2.0,12.0,57765.0,65490.0,98.0,19432.0,18679.0,64.0
11,24230.0,1000.0,75.0,31.0,94.0,2.0,15.0,60663.0,71596.0,98.0,20018.0,17208.0,50.0
12,11804.0,1000.0,69.0,29.0,82.0,11.0,16.0,54413.0,60617.0,93.0,10902.0,13694.0,41.0
13,38300.0,1854.0,81.0,18.0,85.0,14.0,11.0,83355.0,95709.0,90.0,21117.0,29152.0,63.0
14,40488.0,1854.0,86.0,21.0,91.0,6.0,14.0,84078.0,99796.0,99.0,20563.0,32729.0,73.0
15,31668.0,1854.0,76.0,20.0,75.0,23.0,14.0,87303.0,99134.0,91.0,15354.0,24170.0,55.0
16,48648.0,1500.0,81.0,18.0,87.0,11.0,11.0,86551.0,101273.0,74.0,21837.0,40665.0,60.0
17,50487.0,1323.0,98.0,24.0,97.0,1.0,3.0,179530.0,207794.0,59.0,39500.0,26361.0,92.0
18,42210.0,1854.0,83.0,22.0,86.0,11.0,16.0,89274.0,113283.0,93.0,24013.0,29387.0,76.0
19,52340.0,1560.0,90.0,23.0,93.0,2.0,13.0,107032.0,143164.0,77.0,24669.0,41463.0,79.0
20,12888.0,1850.0,53.0,16.0,36.0,62.0,12.0,78937.0,99300.0,57.0,6206.0,22613.0,100.0
21,34700.0,1800.0,78.0,18.0,84.0,14.0,16.0,64987.0,76385.0,80.0,18318.0,28588.0,63.0
22,21712.0,1854.0,51.0,15.0,70.0,28.0,8.0,60735.0,74239.0,80.0,6858.0,30212.0,44.0
23,54160.0,1200.0,96.0,24.0,97.0,1.0,8.0,131650.0,170717.0,45.0,41960.0,26512.0,93.0
